    0.0922   	0.9208       	    0.7958
    0.0839	        0.9857		    0.7996
    0.0839	        1.1155		    0.8065
    0.0926	        1.1815		    0.8097
    0.1077	        0.7934		    0.7359
    0.1077	        1.3096		    0.7595
    0.0993	        1.2464		    0.7747
    0.0994	        0.8559		    0.7502
    0.1243	        0.6696		    0.6355
    0.1245	        1.4348		    0.6906
    0.1151	        1.3732		    0.7219
    0.1151	        0.7300		    0.6712
    0.1432	        0.5509		    0.5268
    0.1448	        1.5561		    0.5988
    0.1504	        0.9870		    0.7768
    0.1505	        1.1137		    0.7784
    0.1341	        1.4967		    0.6427
    0.1331	        0.6085		    0.5721
    0.1470	        1.0502		    0.8199
    0.1627	        0.4378		    0.3838
    0.1635	        0.8603		    0.7186
    0.1631	        1.2408		    0.7415
    0.1672	        1.6724		    0.4712
    0.1562	        1.1779		    0.7537
    0.1563	        0.9227		    0.7413
    0.1773	        0.7364		    0.6409
    0.1780	        1.3658		    0.6759
    0.1838	        0.3321		    0.2291
    0.1529	        0.4928		    0.4526
    0.1556	        1.6156		    0.5350
    0.1698	        1.3042		    0.7069
    0.1698	        0.7973		    0.6733
    0.1905	        1.7826		    0.3286
    0.1927	        0.6166		    0.5488
    0.1978	        0.2317		    0.1374
    0.1945	        1.4873		    0.6022
    0.1735	        0.3833		    0.2951
    0.1856	        1.4275		    0.6360
    0.1849	        0.6754		    0.5907
    0.2098	        0.5018		    0.4329
    0.1789	        1.7284		    0.3899
    0.2146	        1.8862		    0.1984
#    0.1729	        1.9370		    0.3803
    0.2133	        1.6049		    0.5019
    0.2136	        1.0505		    0.7501
    0.2203	        0.9250		    0.7044
    0.1919	        0.2802		    0.1443
    0.2206	        1.1763		    0.7190
    0.2274	        0.3926		    0.3063
    0.2012	        0.5579		    0.4861
    0.2038	        1.5471		    0.5502
    0.2147	        0.9871		    0.7449
    0.2146	        1.1131		    0.7510
    0.2318	        0.8015		    0.6406
    0.2024	        1.8362		    0.2530
    0.2337	        1.7175		    0.3785
    0.2327	        1.3005		    0.6614
    0.2050	        0.1812		    0.1269
    0.2426	        0.2887		    0.1981
    0.2450	        0.6811		    0.5479
    0.2255	        1.2390		    0.6828
    0.2254	        0.8622		    0.6607
    0.2467	        1.4220		    0.5905
    0.2188	        0.4459		    0.3618
    0.2539	        0.1891		    0.1234
    0.2235	        1.6616		    0.4423
    0.2536	        1.8246		    0.2563
    0.2239	        1.9336		    0.1247
    0.2592	        0.5648		    0.4634
    0.2387	        1.3619		    0.6219
    0.2378	        0.7400		    0.5842
    0.2629	        1.5399		    0.5136
    0.2352	        0.3401		    0.2322
    0.2739	        1.9266		    0.1575
    0.2739	        0.4531		    0.3544
    0.2439	        1.7712		    0.3159
    0.2515	        0.6217		    0.4973
    0.2542	        1.4817		    0.5450
    0.2801	        1.6538		    0.4167
    0.2488	        0.2383		    0.1549
    0.2795	        0.9881		    0.6965
    0.2796	        1.1126		    0.7040
    0.2872	        0.3459		    0.2522
    0.2878	        0.8652		    0.6303
    0.2883	        1.2360		    0.6513
    0.2632	        1.8737		    0.1935
    0.2773	        1.0500		    0.7153
    0.2998	        0.2434		    0.1583
    0.2663	        0.5080		    0.3978
    0.2991	        1.7629		    0.3084
    0.2979	        0.7446		    0.5574
    0.2709	        1.5971		    0.4544
    0.3003	        1.3573		    0.5871
    0.2827	        1.1749		    0.6737
    0.2825	        0.9260		    0.6576
    0.3103	        0.6275		    0.4863
    0.3153	        1.8673		    0.1996
    0.3140	        1.4757		    0.5185
    0.2809	        0.3992		    0.2898
    0.2924	        0.8043		    0.5818
    0.2933	        1.2975		    0.6081
    0.2886	        1.7083		    0.3484
    0.3226	        0.5144		    0.3983
    0.3283	        1.5905		    0.4415
    0.2940	        0.2940		    0.1940
    0.3037	        0.6853		    0.5110
    0.3062	        1.4176		    0.5421
    0.3345	        0.4047		    0.3053
    0.3043	        0.1927		    0.1254
    0.3062	        1.8149		    0.2386
    0.3416	        1.0507		    0.6649
    0.3431	        1.7015		    0.3429
    0.3465	        0.2996		    0.2168
    0.3161	        0.5701		    0.4313
    0.3448	        0.9286		    0.6291
    0.3460	        1.1736		    0.6380
    0.3204	        1.5339		    0.4681
    0.3547	        0.1979		    0.1389
    0.3532	        0.8082		    0.5759
    0.3549	        1.2944		    0.5848
    0.3227	        1.9152		    0.1360
    0.3578	        1.8081		    0.2488
    0.3288	        0.4592		    0.3338
    0.3630	        0.6903		    0.4988
    0.3423	        0.9890		    0.6581
    0.3425	        1.1123		    0.6630
    0.3666	        1.4129		    0.5231
    0.3357	        1.6462		    0.3811
    0.3725	        1.9105		    0.1570
    0.3730	        0.5760		    0.4265
    0.3490	        0.8675		    0.5929
    0.3502	        1.2344		    0.6096
    0.3405	        0.3515		    0.2408
    0.3786	        1.5285		    0.4549
    0.3837	        0.4646		    0.3493
    0.3581	        0.7480		    0.5252
    0.3510	        1.7548		    0.2842
    0.3506	        0.2478		    0.1691
    0.3603	        1.3540		    0.5554
    0.3922	        1.6406		    0.3765
    0.3941	        0.3567		    0.2683
    0.3682	        0.6321		    0.4596
    0.3658	        1.8582		    0.1869
    0.4022	        0.2523		    0.1975
    0.3724	        1.4708		    0.4867
    0.4055	        1.7492		    0.2835
    0.4047	        0.9898		    0.6153
    0.4048	        1.1112		    0.6184
    0.3789	        0.5195		    0.3798
    0.4096	        0.8700		    0.5703
    0.4110	        1.2319		    0.5811
    0.3854	        1.5846		    0.4163
    0.4182	        1.8533		    0.1935
    0.4170	        0.7518		    0.5122
    0.4196	        1.3503		    0.5267
    0.3892	        0.4107		    0.3038
    0.4253	        0.6363		    0.4501
    0.4034	        1.0504		    0.6321
    0.4062	        0.9293		    0.5984
    0.4070	        1.1719		    0.6048
    0.4302	        1.4665		    0.4670
    0.3988	        1.6948		    0.3263
    0.3981	        0.3038		    0.2304
    0.4344	        0.5240		    0.3824
    0.4128	        0.8101		    0.5393
    0.4149	        1.2915		    0.5584
    0.4410	        1.5796		    0.4005
    0.4055	        0.2011		    0.1654
    0.4432	        0.4141		    0.3105
    0.4120	        1.8022		    0.2462
    0.4512	        0.3075		    0.2508
    0.4211	        0.6931		    0.4775
    0.4246	        1.4087		    0.4956
    0.4524	        1.6897		    0.3246
    0.4563	        0.2036		    0.2008
    0.4243	        1.9043		    0.1490
    0.4300	        0.5791		    0.4092
    0.4639	        1.7961		    0.2391
    0.4357	        1.5232		    0.4344
    0.4651	        1.0504		    0.5890
    0.4667	        0.9304		    0.5626
    0.4683	        1.1703		    0.5683
    0.4389	        0.4679		    0.3477
    0.4721	        0.8123		    0.5193
    0.4737	        1.8990		    0.1475
    0.4748	        1.2886		    0.5290
    0.4796	        0.6961		    0.4615
    0.4473	        1.6347		    0.3621
    0.4472	        0.3603		    0.2729
    0.4832	        1.4051		    0.4699
    0.4868	        0.5827		    0.4050
    0.4537	        0.2552		    0.2164
    0.4653	        0.9901		    0.5866
    0.4658	        1.1101		    0.5920
    0.4946	        0.4716		    0.3472
    0.4932	        1.5190		    0.4156
    0.4588	        1.7435		    0.2821
    0.4694	        0.8709		    0.5384
    0.4709	        1.2299		    0.5552
    0.5012	        0.3633		    0.2902
    0.5028	        1.6301		    0.3489
